handcard1,handcard2,samesuit,preflopfirstactioninnumber,id
T,A,1,2,1339
8,7,1,2,1340
J,7,0,0,1341
9,T,0,0,1342
A,T,0,2,1343
4,2,0,1,1344
A,J,1,0,1345
A,A,0,2,1346
Q,2,0,0,1347
K,7,0,2,1348
J,6,0,0,1349
8,T,0,2,1350
A,K,0,2,1351
2,K,0,2,1352
7,8,1,2,1353
4,3,0,0,1354
Q,4,0,2,1355
J,Q,0,2,1356
2,2,0,0,1357
6,T,1,0,1358
3,2,0,1,1359
Q,A,0,2,1360
J,3,1,2,1361
7,Q,1,0,1362
T,3,1,2,1363
J,3,0,0,1364
9,9,0,2,1365
A,A,0,2,1366
T,Q,1,2,1367
K,J,0,2,1368
4,T,0,0,1369
5,J,0,2,1370
2,9,1,2,1371
J,2,0,0,1372
Q,3,1,2,1373
9,Q,0,0,1374
4,8,0,0,1375
9,J,1,2,1376
8,7,0,2,1377
2,6,0,1,1378
Q,J,0,2,1379
A,2,1,0,1380
A,6,1,2,1381
5,2,0,1,1382
7,8,0,2,1383
3,K,0,2,1384
9,8,0,0,1385
T,J,0,0,1386
4,A,0,2,1387
T,8,0,2,1388
Q,7,0,2,1389
4,9,0,0,1390
2,3,0,1,1391
7,2,0,1,1392
K,J,0,2,1393
T,J,0,2,1394
9,9,0,2,1395
8,4,0,0,1396
3,A,1,2,1397
2,4,0,1,1398
2,3,1,0,1399
A,4,1,2,1400
A,9,0,2,1401
6,7,1,2,1402
5,Q,0,0,1403
7,Q,1,0,1404
9,2,0,1,1405
5,3,0,2,1406
A,4,0,2,1407
A,6,0,2,1408
5,6,1,2,1409
J,7,1,0,1410
5,T,0,2,1411
A,J,0,2,1412
4,K,1,0,1413
Q,Q,0,2,1414
Q,8,1,0,1415
7,7,0,2,1416
Q,Q,0,2,1417
Q,K,0,0,1418
J,5,0,2,1419
7,A,0,2,1420
T,4,0,0,1421
A,J,1,2,1422
Q,4,1,2,1423
Q,J,0,0,1424
5,6,0,2,1425
7,4,1,0,1426
8,6,0,2,1427
6,K,0,2,1428
4,A,0,0,1429
J,A,0,2,1430
A,6,0,2,1431
J,4,0,0,1432
2,9,0,1,1433
2,Q,0,0,1434
7,2,0,1,1435
4,8,0,0,1436
9,K,0,0,1437
J,3,0,0,1438
A,4,0,2,1439
2,3,0,1,1440
A,J,0,2,1441
8,J,0,2,1442
4,Q,0,0,1443
T,7,0,2,1444
2,4,0,1,1445
A,Q,0,2,1446
A,2,0,2,1447
J,7,0,2,1448
K,5,0,2,1449
9,9,0,2,1450
4,9,1,2,1451
J,5,0,2,1452
4,J,0,2,1453
3,6,1,0,1454
7,J,0,2,1455
Q,A,0,2,1456
Q,A,0,2,1457
A,A,0,2,1458
Q,8,0,2,1459
K,8,0,2,1460
7,8,1,0,1461
Q,T,0,2,1462
Q,J,0,0,1463
K,Q,0,2,1464
A,5,0,2,1465
8,8,0,2,1466
5,7,0,2,1467
4,2,1,2,1468
6,8,0,2,1469
3,A,0,2,1470
2,5,1,0,1471
4,K,0,2,1472
6,Q,0,0,1473
6,5,0,2,1474
A,3,0,2,1475
A,K,0,2,1476
K,3,1,0,1477
Q,3,0,2,1478
7,J,1,2,1479
2,K,0,0,1480
K,J,0,2,1481
T,9,0,0,1482
7,T,0,2,1483
Q,K,0,2,1484
4,7,0,0,1485
8,2,0,1,1486
5,T,0,0,1487
3,3,0,2,1488
A,8,0,2,1489
J,K,1,2,1490
3,6,0,0,1491
Q,8,0,2,1492
5,T,1,2,1493
9,A,0,0,1494
6,4,0,2,1495
T,8,0,2,1496
9,3,0,1,1497
5,A,0,2,1498
2,T,0,0,1499
6,T,0,2,1500
J,T,0,0,1501
J,T,0,0,1502
7,7,0,2,1503
6,4,1,2,1504
3,6,0,0,1505
6,6,0,2,1506
7,Q,1,0,1507
8,7,0,0,1508
J,2,0,0,1509
K,K,0,2,1510
5,Q,1,0,1511
Q,T,0,0,1512
A,J,0,2,1513
5,3,0,0,1514
Q,4,0,2,1515
2,5,0,0,1516
3,K,0,2,1517
3,A,0,2,1518
2,4,0,1,1519
9,8,0,2,1520
Q,6,0,2,1521
2,Q,0,0,1522
4,Q,0,2,1523
2,3,0,1,1524
J,2,0,0,1525
K,3,0,2,1526
A,Q,0,2,1527
2,5,1,0,1528
Q,T,0,2,1529
2,2,0,2,1530
9,8,0,0,1531
3,9,0,1,1532
T,2,0,0,1533
A,J,0,2,1534
9,7,0,2,1535
4,2,1,2,1536
3,5,0,0,1537
A,J,0,2,1538
2,6,0,1,1539
4,3,0,2,1540
2,8,0,1,1541
A,Q,1,2,1542
Q,4,0,2,1543
4,2,0,1,1544
7,3,1,2,1545
9,6,0,0,1546
T,7,1,2,1547
K,J,0,2,1548
9,8,0,0,1549
7,K,0,2,1550
K,9,1,2,1551
5,8,0,2,1552
3,A,0,2,1553
K,7,0,2,1554
2,2,0,2,1555
7,4,1,2,1556
J,8,0,2,1557
9,T,0,2,1558
Q,9,0,2,1559
5,9,0,0,1560
T,A,0,2,1561
K,7,1,2,1562
7,9,0,2,1563
9,6,0,2,1564
5,2,1,2,1565
6,5,1,2,1566
3,9,0,1,1567
J,5,0,2,1568
J,T,1,2,1569
2,2,0,0,1570
K,T,0,2,1571
4,7,1,2,1572
K,7,1,2,1573
7,3,0,0,1574
A,4,0,2,1575
9,K,1,2,1576
K,6,0,2,1577
T,7,1,0,1578
8,K,0,2,1579
T,3,0,0,1580
4,8,0,0,1581
2,A,1,2,1582
T,Q,0,2,1583
T,A,0,2,1584
T,T,0,2,1585
A,2,0,2,1586
A,9,0,0,1587
9,6,1,2,1588
8,A,0,2,1589
8,7,0,2,1590
K,6,0,2,1591
6,T,0,2,1592
J,6,0,2,1593
Q,T,1,2,1594
7,K,0,2,1595
K,T,1,2,1596
J,Q,0,0,1597
7,A,0,0,1598
4,K,0,2,1599
2,9,1,2,1600
T,3,0,0,1601
2,7,1,2,1602
7,8,0,0,1603
J,8,0,2,1604
A,Q,1,2,1605
4,4,0,0,1606
K,3,0,0,1607
2,A,1,0,1608
Q,8,0,2,1609
Q,A,1,2,1610
A,T,0,2,1611
J,K,0,2,1612
8,8,0,2,1613
9,8,1,2,1614
T,7,0,2,1615
2,J,0,0,1616
9,5,0,0,1617
T,4,0,0,1618
3,Q,0,0,1619
J,4,1,0,1620
5,3,1,2,1621
5,A,0,2,1622
Q,4,0,2,1623
Q,4,0,0,1624
A,9,0,0,1625
A,4,1,2,1626
J,J,0,0,1627
A,3,1,0,1628
2,4,1,2,1629
7,3,0,1,1630
J,T,0,2,1631
K,A,1,0,1632
K,3,0,2,1633
K,6,0,2,1634
5,9,0,0,1635
9,K,1,2,1636
2,4,0,1,1637
4,Q,0,0,1638
K,9,0,0,1639
2,A,1,2,1640
7,Q,0,0,1641
2,8,0,1,1642
4,T,0,0,1643
8,6,0,2,1644
7,J,0,2,1645
T,9,0,2,1646
Q,9,0,2,1647
3,6,0,0,1648
Q,4,1,2,1649
8,9,1,2,1650
4,3,0,0,1651
6,2,0,1,1652
7,Q,0,2,1653
4,4,0,2,1654
Q,K,1,2,1655
9,3,0,1,1656
3,K,0,0,1657
Q,T,0,2,1658
7,A,1,2,1659
3,7,0,1,1660
T,A,0,2,1661
A,7,0,0,1662
2,6,0,1,1663
T,5,1,2,1664
Q,6,0,2,1665
7,5,0,0,1666
8,4,0,0,1667
J,7,0,2,1668
K,A,0,2,1669
4,J,0,0,1670
3,7,1,2,1671
8,A,0,2,1672
5,4,0,2,1673
8,6,0,2,1674
3,A,0,2,1675
J,K,1,2,1676
J,4,0,2,1677
5,8,0,0,1678
3,K,1,2,1679
5,8,0,0,1680
2,2,0,2,1681
4,A,1,2,1682
5,8,0,0,1683
6,T,1,2,1684
J,4,0,0,1685
4,8,0,0,1686
9,T,0,0,1687
Q,A,0,2,1688
J,5,0,2,1689
4,3,1,0,1690
9,4,1,2,1691
3,9,0,1,1692
8,K,0,2,1693
7,6,0,0,1694
7,J,1,0,1695
J,3,0,0,1696
7,K,0,2,1697
7,8,0,2,1698
2,K,1,0,1699
K,6,1,0,1700
7,J,0,2,1701
K,5,0,0,1702
8,6,0,2,1703
4,4,0,2,1704
9,A,0,0,1705
2,7,0,1,1706
T,5,1,2,1707
8,A,0,2,1708
2,9,0,1,1709
2,3,0,1,1710
7,2,1,0,1711
K,2,1,2,1712
7,9,0,2,1713
3,J,0,0,1714
J,8,0,2,1715
4,J,1,0,1716
4,6,0,2,1717
2,T,1,2,1718
6,Q,0,2,1719
Q,4,0,2,1720
7,4,0,0,1721
5,K,0,2,1722
K,6,0,2,1723
3,7,0,1,1724
Q,K,0,2,1725
6,A,0,2,1726
4,K,0,2,1727
K,Q,0,2,1728
5,A,0,2,1729
J,2,0,0,1730
2,K,0,2,1731
A,6,1,2,1732
J,2,1,2,1733
7,A,0,2,1734
J,K,0,2,1735
2,6,0,1,1736
2,3,0,1,1737
6,J,0,2,1738
K,9,0,0,1739
K,K,0,2,1740
T,8,0,2,1741
4,8,1,2,1742
K,7,0,2,1743
5,9,0,0,1744
3,2,0,1,1745
5,9,0,0,1746
T,7,0,2,1747
K,J,0,2,1748
6,J,0,2,1749
Q,4,0,0,1750
A,J,0,2,1751
K,4,1,2,1752
7,T,1,2,1753
A,6,0,2,1754
2,A,1,2,1755
3,8,0,1,1756
T,7,0,2,1757
3,3,0,0,1758
8,Q,0,2,1759
K,A,0,2,1760
K,8,0,2,1761
K,4,0,2,1762
8,2,1,2,1763
9,T,0,2,1764
Q,2,0,0,1765
3,A,0,2,1766
5,J,0,2,1767
7,2,1,0,1768
6,7,0,0,1769
J,9,0,0,1770
6,K,0,2,1771
6,K,0,2,1772
T,9,0,0,1773
Q,4,0,2,1774
5,Q,1,2,1775
J,3,0,0,1776
4,Q,1,2,1777
Q,3,0,0,1778
7,6,0,2,1779
T,2,0,0,1780
6,9,1,0,1781
T,4,0,0,1782
5,K,1,2,1783
K,6,0,2,1784
Q,K,0,2,1785
6,8,0,0,1786
3,J,0,0,1787
Q,5,1,2,1788
9,J,0,2,1789
8,7,0,0,1790
5,2,1,2,1791
A,3,0,2,1792
T,4,1,2,1793
K,Q,0,2,1794
7,9,0,2,1795
5,Q,0,2,1796
T,9,1,2,1797
8,A,0,2,1798
9,5,0,0,1799
7,Q,0,2,1800
7,K,1,0,1801
J,8,0,2,1802
T,5,0,0,1803
6,9,0,0,1804
7,3,1,2,1805
2,A,0,2,1806
5,6,1,2,1807
6,8,1,0,1808
2,4,1,2,1809
9,3,0,1,1810
T,7,1,0,1811
J,A,1,2,1812
5,6,1,2,1813
4,K,0,0,1814
4,J,1,2,1815
T,4,0,0,1816
8,5,0,2,1817
K,8,0,2,1818
3,7,1,2,1819
7,A,0,0,1820
9,A,0,0,1821
3,3,0,2,1822
6,J,0,0,1823
4,K,0,0,1824
T,5,1,2,1825
6,4,0,2,1826
9,6,0,2,1827
7,8,0,2,1828
5,J,0,2,1829
7,K,1,0,1830
5,J,0,2,1831
T,T,0,2,1832
J,T,0,0,1833
3,9,0,1,1834
4,A,0,2,1835
8,9,0,0,1836
3,5,0,2,1837
A,2,0,2,1838
2,A,0,2,1839
3,K,1,0,1840
A,J,1,2,1841
4,J,0,2,1842
K,J,1,0,1843
6,4,0,2,1844
A,6,0,2,1845
7,6,1,2,1846
T,4,0,0,1847
A,3,0,2,1848
J,T,0,2,1849
9,6,0,2,1850
A,4,0,2,1851
3,8,0,1,1852
3,6,0,0,1853
J,3,1,2,1854
5,2,0,1,1855
Q,T,0,2,1856
A,9,0,0,1857
Q,T,0,0,1858
K,J,0,2,1859
5,T,0,0,1860
2,6,0,1,1861
6,T,0,2,1862
K,K,0,2,1863
8,5,1,2,1864
Q,A,0,2,1865
6,9,0,2,1866
6,T,0,0,1867
3,T,0,0,1868
K,6,0,2,1869
4,6,1,2,1870
8,3,0,1,1871
K,3,0,2,1872
K,4,0,2,1873
8,T,0,2,1874
Q,Q,0,2,1875
9,Q,0,2,1876
K,2,0,0,1877
A,K,1,2,1878
9,T,1,2,1879
K,4,0,2,1880
T,4,0,0,1881
5,K,0,2,1882
6,J,0,2,1883
4,7,1,2,1884
8,A,1,2,1885
2,6,0,1,1886
2,2,0,2,1887
Q,J,1,2,1888
8,4,0,0,1889
Q,8,0,2,1890
K,T,0,2,1891
6,J,0,2,1892
T,J,0,2,1893
7,6,0,2,1894
8,K,0,0,1895
6,K,0,2,1896
Q,2,0,0,1897
5,Q,0,2,1898
4,T,1,2,1899
T,2,0,0,1900
3,J,1,2,1901
3,9,0,1,1902
4,7,0,0,1903
7,9,0,2,1904
7,7,0,2,1905
2,8,0,1,1906
Q,K,0,0,1907
J,9,1,2,1908
7,Q,1,2,1909
T,7,1,0,1910
2,5,0,0,1911
9,4,0,0,1912
3,4,0,2,1913
4,7,0,0,1914
Q,4,0,2,1915
4,Q,0,2,1916
5,A,0,0,1917
5,Q,0,2,1918
Q,9,0,2,1919
6,4,0,0,1920
T,3,0,0,1921
Q,7,0,2,1922
3,4,1,2,1923
K,T,0,0,1924
2,J,0,0,1925
J,3,0,0,1926
K,6,1,2,1927
9,Q,0,2,1928
4,4,0,2,1929
T,A,0,2,1930
J,8,0,2,1931
T,3,1,2,1932
8,J,0,2,1933
Q,5,0,2,1934
2,2,0,0,1935
5,4,1,2,1936
6,6,0,0,1937
3,5,0,2,1938
J,2,0,0,1939
2,K,0,0,1940
5,J,0,0,1941
4,T,0,0,1942
8,7,0,2,1943
K,4,0,0,1944
A,K,0,2,1945
A,7,0,2,1946
9,K,0,2,1947
9,6,0,2,1948
Q,T,0,0,1949
4,4,0,2,1950
4,4,0,2,1951
9,8,0,2,1952
K,A,0,2,1953
7,8,1,2,1954
8,5,0,2,1955
2,9,0,1,1956
3,Q,0,0,1957
8,7,0,2,1958
8,J,1,2,1959
3,Q,0,0,1960
8,2,0,1,1961
4,T,0,2,1962
A,T,1,2,1963
Q,T,0,2,1964
A,A,0,2,1965
8,9,1,2,1966
3,K,0,0,1967
K,J,0,2,1968
8,6,0,2,1969
T,6,0,2,1970
3,5,0,2,1971
5,K,1,2,1972
T,2,0,0,1973
2,J,0,0,1974
K,8,0,2,1975
T,T,0,2,1976
T,9,0,2,1977
T,K,1,2,1978
4,4,0,2,1979
9,T,0,2,1980
K,3,0,2,1981
7,A,0,2,1982
A,4,1,2,1983
2,6,1,2,1984
8,5,0,2,1985
6,A,0,2,1986
3,4,0,2,1987
6,9,0,2,1988
4,8,0,0,1989
8,2,0,1,1990
K,K,0,2,1991
K,Q,0,2,1992
3,2,0,1,1993
8,9,0,0,1994
J,5,0,0,1995
6,2,0,1,1996
Q,3,0,2,1997
2,4,0,1,1998
3,Q,0,2,1999
K,2,0,2,2000
7,5,1,2,2001
J,J,0,2,2002
7,7,0,2,2003
K,7,1,0,2004
6,8,0,2,2005
3,2,0,1,2006
9,3,0,1,2007
3,A,0,2,2008
6,8,0,2,2009
8,A,0,2,2010
3,J,1,2,2011
T,T,0,0,2012
A,J,0,0,2013
A,J,0,2,2014
6,5,0,2,2015
7,K,1,0,2016
2,7,0,1,2017
J,9,0,2,2018
A,4,1,2,2019
J,9,0,2,2020
A,7,0,0,2021
K,A,0,2,2022
Q,9,0,2,2023
5,Q,0,2,2024
Q,J,0,0,2025
3,6,0,0,2026
T,8,0,2,2027
5,9,0,0,2028
2,4,0,1,2029
8,A,0,0,2030
T,9,1,2,2031
3,4,0,0,2032
J,5,0,2,2033
J,7,1,2,2034
K,6,1,0,2035
A,8,0,0,2036
6,K,0,2,2037
4,6,0,0,2038
K,6,0,0,2039
4,6,0,2,2040
6,J,0,2,2041
K,J,0,2,2042
3,J,0,0,2043
5,K,0,2,2044
J,T,0,0,2045
J,4,1,2,2046
9,3,0,1,2047
9,7,0,2,2048
K,4,1,2,2049
7,K,1,0,2050
J,8,0,2,2051
2,J,0,0,2052
7,8,1,2,2053
5,6,1,2,2054
K,T,0,0,2055
8,6,0,0,2056
Q,J,0,2,2057
9,9,0,2,2058
J,A,0,2,2059
7,J,1,2,2060
9,5,0,0,2061
K,Q,0,2,2062
6,6,0,2,2063
J,6,0,2,2064
6,K,0,2,2065
Q,T,0,2,2066
7,8,0,0,2067
J,5,0,2,2068
9,8,1,2,2069
2,A,1,0,2070
K,6,0,2,2071
K,T,0,0,2072
J,K,0,2,2073
K,3,0,2,2074
5,4,0,2,2075
T,3,0,0,2076
5,2,0,1,2077
6,J,0,2,2078
Q,3,0,0,2079
4,5,0,2,2080
A,3,0,2,2081
Q,9,0,0,2082
K,9,1,2,2083
8,7,1,2,2084
K,9,0,2,2085
3,2,0,1,2086
7,3,0,0,2087
A,J,0,2,2088
